date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-09-15,115399.63,116747.88,114461.06,115444.87,115604.47,0.04%,06:11:00,13:46:00,52937859416.04,2299410634533.67,19921468.0
2025-09-14,115950.29,116181.5,115222.4,115407.65,115701.95,-0.47%,09:49:00,23:50:00,32798036056.78,2298871666829.88,19920962.0
2025-09-13,116093.56,116334.63,115248.28,115950.51,115791.46,-0.12%,01:04:00,17:10:00,34549454946.66,2309784087733.52,19920468.0
2025-09-12,115507.79,116769.38,114794.48,116101.58,115781.93,0.51%,19:56:00,12:11:00,54785725894.45,2312575346970.39,19919928.0
2025-09-11,113961.43,115522.54,113453.84,115507.54,114488.19,1.36%,23:58:00,13:19:00,45685065332.3,2300873652880.9,19919640.0
2025-09-10,111531.25,114275.25,110940.08,113955.36,112607.66,2.17%,13:50:00,01:52:00,56377473784.11,2270015122299.65,19919153.0
2025-09-09,112077.58,113225.44,110776.7,111530.55,112001.07,-0.49%,07:31:00,15:46:00,45984480722.09,2221551890594.18,19918650.0
2025-09-08,111163.02,112869.24,110630.61,112071.43,111749.92,0.82%,15:26:00,02:22:00,40212813406.78,2232377995774.42,19918150.0
2025-09-07,110221.33,111591.08,110211.62,111167.62,110901.35,0.86%,23:28:00,00:03:00,24618007519.76,2214104302826.17,19917634.0
2025-09-06,110650.57,111275.02,110024.08,110224.7,110649.55,-0.38%,03:29:00,19:55:00,21500719035.81,2195293247853.39,19917137.0
2025-09-05,110723.01,113357.49,110233.4,110650.99,111795.44,-0.07%,12:56:00,17:44:00,60241647677.23,2203793467266.42,19916693.0
2025-09-04,111718.15,112208.33,109347.23,110723.6,110777.78,-0.89%,00:58:00,15:22:00,60131132900.9,2205191335152.3,19916287.0
2025-09-03,111190.7,112600.22,110582.96,111723.21,111591.59,0.48%,17:53:00,07:21:00,61119643564.64,2224907382002.52,19915362.0
2025-09-02,109243.07,111748.01,108454.03,111200.59,110101.02,1.79%,14:37:00,12:48:00,74776999490.97,2214403015411.19,19915362.0
2025-09-01,108228.75,109890.58,107271.18,109250.59,108580.88,0.94%,09:34:00,05:20:00,66870372995.2,2175562358172.14,19914878.0
2025-08-31,108818.46,109491.0,108104.66,108236.71,108797.83,-0.53%,01:57:00,23:41:00,47986191770.07,2155311534755.2,19914409.0
2025-08-30,108409.4,108929.35,107444.44,108808.07,108186.9,0.37%,15:46:00,02:00:00,51486264207.9,2167007351838.78,19913968.0
2025-08-29,112550.52,112619.05,107559.62,108410.84,110089.34,-3.68%,00:30:00,21:04:00,77843379643.52,2158807975372.9,19913475.0
2025-08-28,111219.05,113450.08,110900.92,112544.8,112175.5,1.19%,13:23:00,00:36:00,58860155962.4,2241214229395.23,19912962.0
2025-08-27,111795.71,112619.42,110398.26,111222.06,111508.84,-0.51%,14:36:00,08:50:00,62137056408.51,2214646576273.91,19912475.0
2025-08-26,110124.11,112397.01,108762.04,111802.66,110579.52,1.52%,23:14:00,01:02:00,69396320316.88,2226076813796.44,19912006.0
2025-08-25,113456.89,113637.84,109324.28,110124.35,111481.06,-2.94%,03:11:00,21:33:00,85706860189.64,2192739869455.91,19911534.0
2025-08-24,115387.39,115615.08,111060.54,113458.43,113337.81,-1.67%,02:10:00,19:38:00,73961489632.02,2259049760359.11,19911084.0
2025-08-23,116866.37,116996.25,114536.11,115374.33,115766.18,-1.28%,00:35:00,15:12:00,55377142585.98,2297430001314.73,19910581.0
2025-08-22,112433.73,117377.4,111678.95,116874.09,114528.17,3.95%,18:15:00,12:36:00,82528088239.59,2326822823274.44,19910115.0
2025-08-21,114275.68,114802.65,111986.23,112419.03,113394.44,-1.62%,02:02:00,19:39:00,57817883699.69,2238516228088.39,19909650.0
2025-08-20,112828.02,114625.8,112387.96,114274.74,113506.88,1.28%,22:57:00,14:18:00,67993811525.52,2275137450832.98,19909200.0
2025-08-19,116241.86,116764.5,112730.4,112831.18,114747.45,-2.93%,01:05:00,23:55:00,71657600352.99,2246264081038.23,19908743.0
2025-08-18,117453.91,117614.17,114723.68,116252.31,116168.92,-1.02%,00:11:00,09:35:00,72787808089.51,2314179147653.02,19908312.0
2025-08-17,117492.79,118595.78,117279.52,117453.06,117937.65,-0.03%,13:53:00,01:08:00,45852169525.35,2338253928062.47,19907843.0
2025-08-16,117398.42,117996.06,117271.95,117491.35,117634.0,0.08%,01:55:00,10:23:00,48036922377.96,2338971474695.19,19907362.0
2025-08-15,118365.78,119332.31,116864.57,117398.35,118098.44,-0.82%,06:49:00,16:17:00,68665353159.16,2337039020728.36,19906903.0
2025-08-14,123339.4,124457.12,117254.88,118359.58,120856.0,-4.04%,00:33:00,18:23:00,104055627395.48,2356244699277.73,19906468.0
2025-08-13,120168.98,123682.45,118939.63,123344.06,121311.04,2.64%,23:42:00,06:05:00,90904808794.95,2455190057730.02,19905968.0
2025-08-12,118717.66,120302.47,118228.72,120172.91,119265.6,1.23%,20:56:00,10:15:00,72803657984.3,2391997268648.95,19905281.0
2025-08-11,119306.81,122321.1,118159.03,118731.45,120240.06,-0.48%,06:56:00,21:54:00,90528784177.43,2363082431521.65,19905062.0
2025-08-10,116497.72,119320.71,116485.17,119306.76,117902.94,2.41%,23:35:00,00:02:00,64755458694.47,2374751720810.42,19904578.0
2025-08-09,116678.28,117906.61,116363.84,116500.36,117135.22,-0.15%,10:24:00,03:09:00,54004312428.99,2318789772860.09,19904165.0
2025-08-08,117505.5,117689.2,115917.46,116688.73,116803.33,-0.7%,00:39:00,15:47:00,59713005166.12,2322343980631.86,19903825.0
2025-08-07,115030.05,117676.91,114279.71,117496.9,115978.31,2.14%,22:57:00,04:57:00,64051649680.54,2338757036672.32,19903384.0
2025-08-06,114140.91,115737.83,113372.25,115028.0,114555.04,0.78%,18:16:00,04:39:00,56379133509.58,2289426220057.24,19902853.0
2025-08-05,115072.18,115117.44,112701.11,114141.44,113909.28,-0.81%,00:39:00,14:47:00,61039182286.4,2271682684065.46,19902440.0
2025-08-04,114223.92,115729.47,114130.4,115071.88,114929.94,0.74%,17:18:00,00:15:00,35783028986.15,2290168688367.51,19902018.0
2025-08-03,112525.8,114747.42,111943.8,114217.67,113345.61,1.5%,19:38:00,00:39:00,48099615825.72,2273225581674.02,19901484.0
2025-08-02,113320.39,114021.61,112005.77,112526.91,113013.69,-0.7%,05:04:00,19:15:00,56870865999.63,2239374886795.05,19900990.0
2025-08-01,115738.96,116060.77,112724.44,113320.09,114392.61,-2.09%,03:25:00,22:52:00,91294530181.27,2255135680883.85,19900528.0
2025-07-31,117833.63,118919.98,115505.22,115758.2,117212.6,-1.76%,07:22:00,23:42:00,69370346017.86,2303212731755.83,19900065.0
2025-07-30,117921.99,118780.73,115800.83,117831.19,117290.78,-0.08%,15:01:00,19:07:00,68896148591.57,2344840211128.15,19899584.0
2025-07-29,117938.58,119273.87,116987.37,117922.15,118130.62,-0.01%,07:49:00,16:39:00,68463107433.08,2346548863678.93,19899162.0
2025-07-28,119457.52,119819.79,117441.44,117924.47,118630.62,-1.28%,02:39:00,18:36:00,64822943193.08,2346839250912.99,19898825.0
2025-07-27,117944.73,119815.6,117859.69,119448.49,118837.64,1.27%,22:46:00,00:13:00,54683390891.99,2377006745709.88,19898343.0
2025-07-26,117644.84,118335.69,117181.23,117947.37,117758.46,0.26%,19:56:00,02:00:00,48508954045.79,2346856092637.38,19897931.0
2025-07-25,118368.0,118486.98,114759.82,117635.88,116623.4,-0.62%,00:05:00,07:57:00,104857024568.67,2340833108360.89,19897456.0
2025-07-24,118770.98,119535.45,117247.97,118368.0,118391.71,-0.34%,15:11:00,07:06:00,72627318559.56,2355161768776.72,19896946.0
2025-07-23,119997.44,120113.35,117391.39,118754.96,118752.37,-1.04%,00:26:00,13:52:00,66608604536.87,2363126358024.41,19896496.0
